27  ±e5+,"White  can  pick  off  a  couple  of  exchanges  with  27  jth6+  <^g8 
28  ikxf8  ^xf8  29  Jtxb7,  etc.  But  by  now  I  felt  there  was  more  in  the 
offing."
2,
9  ^xd4 ,"Just  how  Black  can  attempt  to  thread  his  way  to  equality  is  not  clear. 
Interesting  is  Donald  Byrne’s  9... a5.  The  strongest  reply  is  10  g4  and  if 
70.„4be5  11  J.e2  d5?  12  g5!  wins  a  Pawn, "
"14  ...  jk,xd5 ","Bad  judgment  is  74,..^xd5?  15  Axgl  ^xg7  16  cxd5  Jtd7  17  Sdel 
with  a  crushing  bind.  (Suetin-Korehnoi,  USSR  Championship  prelims 
1953.) "
15  ...  Sac8? ,"The  losing  move.  After  the  game  Larsen  explained  he  was  playing  for 
a  win,  and  therefore  rejected  the  forced  draw  with  75,..£}xd5  16  Jtxg7 
^c3+  17  bxc3  (17  ±xc3  bxc3  18  #xc3  Wxc3  19  bxc3  fifc8  renders 
White’s  extra  Pawn  useless.)  77...fiab8!  18  cxb4  fcb4+!  19  Hxb4 
Sxb4+  20  Jk,b2  Sfb8,  etc.  After  75..P£)xd5,  however,  I  intended  simply 
16  exd5  fcd5  17  fcb4,  keeping  the  game  alive. 
"
16  tb3!,"He  won’t  get  a  second  chance  to  snap  off  the  Bishop!  Now  I  felt  the 
game  was  in  the  bag  if  I  didn’t  botch  it.  I’d  won  dozens  of  skittles 
games  in  analogous  positions  and  had  it  down  to  a  science:  pry  open  the 
h-file,  sac,  sac  ...  mate! "
16  ...  Sc7,"This  loss  of  time  is  unfortunately  necessary  if  Black  is  ever  to 
advance  his  a- Pawn.  7(‘>..,#b5?  is  refuted  by  17  J§Lxa7. "
17  h4  §b5,"There’s  no  satisfactory  way  to  impede  White’s  attack.  If  77...h5 "
20  g4 ,"Not  the  impatient  20  Jlxf6?  Jkxf6  21  Hh6  e6!  (threatening  ...We5) 
and  Black  holds  everything. "
20  ...  a5,"Now  Black  needs  just  one  more  move  to  get  his  counterattack 
moving.  But  for  the  want  of  a  nail  the  battle  was  lost... "
22  ...  gxh5,"No  better  is  22...  Jtxd4  23  °#xd4  gxh5  24  g 6  Wq5  (if  24. ..e6  25  Wxd 6) 
25  gxf7+  4?h7  (if  25.  „&f8  26  l'xe5  dxe5  27  flgl  e6  23  ±x.e6  4>e7 
29  Axc8  Bxc8  30  Sg5  wins)  26  ^d3!  (intending  f4)  should  be 
decisive."
25  ±e3  d5!,"A  desperate  bid  for  freedom.  On  2J...a4  (if  25.. .2d8  26  J=h6) 
26  Wxd6+  Se7  27  ®d8+!  Sxd8  28  Bxd8+  Se8  29  Ac5+  mates. "
27  d6  Sf6,"On  27...Kd7  White  can  either  regain  the  exchange  with  28  Jk,e6  or  tiy 
for  more  with  28  Jth6.  And  on  27.. .2xf3  28  dl,  threatening  Wd6  mate"
31  1fd6+,A  mistake!  31  ®h6+!  forces  mate  in  three. 
3,
8  d4,"Reckoning  he  can  afford  this  loss  of  time  in  view  of  Black’s 
misplaced  KN.  On  8  Ibl  f5!  9  Wc2  a5  JO  a3  f4  (Petrosian-Vasiukov, 
Moscow  1956)  Black  obtains  an  excellent  aggressive  setup.  I  was  as 
impressed  by  that  game  as  Petrosian  must  have  been,  since  he  got 
crushed. "
11  exf5  gxf5,"Tempting  but  unsound  is  77...^xf5  12  g4  <?3d4  13  gxh5  Jlg4 
14  £ixd4!  ±xdl  15  $2 e6,  etc.  And  on  IL.AxfS  12  £ig5  “®d7  13  £ie6! 
jkxeb  14  dxe6  Wxe6  15  ikxb7  fiab8  16  jtg2  l^xc4  17  ^dS!  White 
comes  out  on  top. "
12  4^xe5!  4^xg3,"A  “desperado”  combination:  this  Knight  (which  is  doomed  anyway) 
sells  its  life  as  dearly  as  possible."
13  hxg3,"Simple  and  good.  I  had  expected  13  fxg3,  but  Petrosian  eschews  the 
K-side  attack  and  plays  for  control  of  the  center  squares  instead.  His 
judgment  turns  out  to  be  right. "
16  ±d4,"Forcing  the  trade  of  Black’s  most  active  piece.  White  soon  obtains  a 
firm  grip  on  the  position. "
16  ...  4hg6,"A  careless  transposition.  Now  by  77...itxd4+  18  Wxd4  h5!  followed 
by  ...h4,  Black  could  exchange  his  isolated  h-Pawn  for  White’s  g-Pawn 
and  the  game  would  be  dead  equal.  Correct  was  7  7  Jlf3,"
25  £te3,"Petrosian  keeps  building  without  getting  sidetracked  -  even  by  good 
moves.  I  was  more  afraid  of  25  j^,h5!  tying  me  up  completely.  Then  the 
Rook  can’t  move  because  of  Jtxg6  followed  by  a  check  on  h8. "
26  b3  %7,"The  exchange  of  Queens  eases  the  cramp.  White  can’t  afford  to 
retreat  and  cede  this  important  diagonal"
29  Jte2,"White  constantly  finds  ways  to  improve  his  position.  Not  29  b4  axb4 
30  axb4  Sa8  and  Black  seizes  the  open  file. "
34  ^c2! ,"Headed  for  an  even  stronger  post  on  d4.  I  was  amazed  during  the 
game.  Each  time  Petrosian  achieved  a  good  position,  he  managed  to 
maneuver  into  a  better  one. "
36  ±e2,"Feigning  an  invasion  with  iLh5  and  Sel  and  4^e6.  White  has  two 
wings  to  operate  on:  Black  must  be  flexed  to  react  appropriately,  and 
this  requires  alertness. "
36  ...  ^g8? ,"Panicking  and  giving  him  the  opportunity  he’s  been  waiting  for  to 
sneak  b4  in  at  a  moment  when  Black  can’t  counter  with  ...axb4  and 
...Ha8.  Petrosian  likes  to  play  cat-and-mouse,  hoping  that  his  opponents 
will  go  wrong  in  the  absence  of  a  direct  threat.  The  amazing  thing  is  — 
they  usually  do!  Witness  a  case  in  point.  I  should  just  have  ignored  his 
“threat”  with,  say,  3d...£a8  37  jUi5  Bc8  38  £cl  stpfb  and  if  39  4ise6  c6."
38  ...  axb4 ,"5#...^e4+?  39  ihte4  fxe4  40  bxa5  bxa5  (if  40... Sa8  41  axb6  cxb6 
42  Sbl)  41  Sbl  followed  by  Sb7  wins  easily.  White  also  invades  after 
38,..&g6  39  bxa5  bxa5  40  Sbl."
40  Sal! ,"White  has  finally  achieved  his  ideal  setup,  but  Black’s  game  is  still 
tenable. "
45  c5! ,This  Pawn  sac  caught  me  completely  by  surprise.  It’s  the  only  line that  gives  Black  any  trouble.
51 #d6? ,"Should  be  the  losing  move!  Correct  is  52  Jle 6  4^xd5! 

53  J?Lxd5  Sxf4  (53. ..Sd8  also  draws)  winning  the  last  Pawn  and  forcing 
a  draw."
4,
13  ...  ^b6 ,"More  direct  is  73... b4  74  §3d5  ^xd5  15  exd5  JLf5  16  Hf2  a5  with 
good  play  against  White’s  backward  c-Pawn. "
14  ...  Sab8?,"I  figured  if  he  didn’t  take  it  off  last  move  he  wouldn’t  take  it  now;  so 
I  wanted  to  build  a  little  more  and  keep  the  option  of  moving  the  Knight 
to  a4  as  well  as  c4.  But  Black  should  pounce  on  the  chance  to  play 
14. ..§1 ic4!  15  Jkxc4  bxc4  16  Jtb6  (if  16  4^al  Hab8  17  fibl  flb7  is 
strong;  or  16  £icl  Iab8  17  ^a4  c3!  18  bxc3?  Wc6  19  %3b6  Ad8) 
7d...#c8  17  ^3a5  <53d7!  and  White’s  in  trouble.  E.g.,  18  £M5  (or  if 
18  jte3  ±d8  19  %3d5  ±xd5  20  lxd5  $3%  winning  at  least  the 
exchange)  73...  JLxd5  19  fixd5  (if  19  exd5  ^xb6  20  ^xb6  ^»d8  21  Wb4 
lb8  22  Wa3  J,xa5  23  Wxa5  lxb2)  79...1b8  winning  at  least  a  Pawn. "
15  jtxb6!,"Pilnik  hastens  to  make  amends  for  his  omission.  Not  15  4>a5?  d5! 
wins  material"
29  ^xe  5? ,"This  gives  Black  a  strong  passed  e-Pawn.  Correct  is  29  Ba2  Bb2 
30  Bxb2  Jbtb2  31  Jtb5!  Bxa3  (otherwise  a4)  32  ^e7+  ^f8  33  <^xg6+ 
with  a  draw  in  view.  On  33...hxg6  34  Axd7  produces  opposite  colored 
Bishops.  Or  on  33. ..4?e8  34  Bel+!  (34  jtxd7+  <i)xd7  35  Bxf7+?  ^d8 
wins  a  piece)  34... <4^8  35  Jtxd7  fxg6  (if  35... fcd7  36  ^f8+  any 
3  7  ^xh7)  =."
35  fiel  flxd6 ,"Najdorf  chided  me  after  the  game  for  “missing”  35. ..e 4  36  Axe4! 
Sbl!  37  fixbl  Jtxe4+  38  &gl  JLxbl  and  wins. "
36  flxe5,"Falling  into  the  trap.  36  fie7  holds  out  longer,  but  3b...fif6  37  Jld5  e4 
38  Jlxe4  Jtxe4+  39  fi7xe4  fiff2  wins."
5,
7  Ad3? ,"Misplacing  the  Bishop.  Right  is  7  a3!  and  if  7...^ic6  8  Ae3,  etc. 
(if  #...4^e5  9  Jle2!  4fxc4?  10  Jlxc4  Wxc4  11  Scl  wins). 

7  a3!,  by  preventing  ..Ab4  once  and  for  all,  forces  Black  to  adopt  a 
kind  of  Scheveningen  formation  that  keeps  him  desperately  cramped. 
A  Spielmann-Tartakover  game  proceeded:  7..Ael  8  Ae2  0-0  9  0-0  d6 
10  Ae3  ^hbdl  11  ficl  b6  12  b4!  Ab7  13  Q  Sac8  14  Wei  #b8  15  #f2 
“with  a  beautiful  position  for  White.”  (From  More  Chess  Questions 
Answered.) "
8  ±e3  ^xd4?,"Instead  of  trying  to  simplify,  Black  should  select  the  aggressive 
#...4^e5!  9  lei  (not  9  0-0  4^eg4!  or  if  9  Jle2  4^xc4  10  Axc4  Wxc4 
11  Scl  Wb4  12  0-0  d6;  and  if  13  ^b3?  £ixe4!  14  a3  ^ixc3,  etc.) 
P...^fg4!  with  advantage. "
18  f3  £>d7! ,"Black  had  relied  on  this  move  to  get  him  out  of  trouble.  Now 

19  ^xd7  (or  19  ^3a4  4^e5  20  JLb3  g5!  holds  the  balance)  19..Mxdl 

20  fid2  fifd8  21  Scdl  ^f8  is  dead  equal. "
19  ^d5!,"An  unexpected  reply  which  throws  Black,  unjustifiably,  into  a  state  of 
confusion. "
19  ...  ±xd5 ,"Caught  by  surprise.  Rossctto  fails  to  find  the  most  accurate  reply: 
/P.,.^c5!  (also  tenable  is  /9...exd5  20  cxd5  ^e5  21  dxc6  bxc6  22  b3 
c5  23  ±c4  fife 8)  20  £)e7+  (if  20  3  g5!)  20..& h8  21  £>xc6  bxc6 

22  Jta4  g5!  followed  by  ...&g7-f6-e7~. "
23  2d3  f5? ,"Oblivious  to  the  danger!  The  best  defense  is  23... a5  24  a3  (Black 
should  hold  after  24  JLxd7  fixd7  25  bxa5  bxa5  26  c5  dxc5  27  2xc5  a4) "
24  Ia3! ,"The  threat  is  simply  25  jtxd7.  The  veiled  and  seemingly  insignificant 
attack  on  Black’s  a-Pawn  is  the  means  of  forcing  him  to  drop  the 
protection  of  his  c5  square. "
24  ...  ^b8,"Forced.  On  24. .$3 f6  25  Jic6  wins  a  Pawn.  The  only  other  try  is 

24.. . a5  25  bxa5  bxa5  26  ±c6!  £3c5  (on  26...%3b%  27  ±b5\  or  26. ..^ b6 
27  fibl!  ^xc4?  28  fic3  §362  29  Sb2  traps  the  Knight)  27  flxa5  and 
White  should  win. "
25  c5!  bxc5 ,"On  25... b5  26  ±b3  lf7  27  c6  Hc7  28  Ba5!  &f7  29  a4  bxa4  30  Sxa4 
<4)e7  31  Jtc4  picks  off  the  a-Pawn. "
27  Hxc5  &g7 ,"On  27.. if  27..M c8  28  Sac3  keeps  the  bind)  28  flc7  4?3f6 
29  ±b3  st?h8  30  Ixa6  ^xd5  31  J.xd5  lxd5  32  fiaa7  wins.  Black’s 
game  collapses  once  the  heavy  guns  penetrate. "
29  d6!  £>d7 ,"The  Pawn  is  obviously  immune.  So  Black  attempts  to  revive  his 
Knight. "
6,
14  g6 ,"The  Yugoslav  System,  popularized  by  Gligorich  and  Matanovich. 
The  idea  is  to  strengthen  the  position,  and  transfer  the  Bishop  to  f8 
while  awaiting  further  developments.  Black  will  undertake  specific 
counteraction  only  after  White  commits  himself."
15  dxe5 ,"This  positional  approach  bares  the  hole  on  d5,  so  that  White  may  gain 
access  to  it  with  his  Knight.  Alternate  plans  ensue  after  15  Ad2  Jlf8 
and  now: 

a]  The  quiet  16  M, cl  Jlg7?  (after  16.. .§5 c6  17  d5!  <?3a5  [on  /7...*§M8 

18  c4!  robs  Black  of  his  normal  counterplay  with  ...c4,  Olafsson-Ivkov, 
Buenos  Aires  1960,  and  now  White  can  leisurely  build  up  a  strong 
attack  with  4lh2,  g4,  Sgl  and  later  the  stock  sac  4}f5]  18  b4  ^hbl 

19  a4  with  a  slight  advantage)  17  b4  ^c6  18  <$M5!  4^xd5  19  exd5  4k7 

20  dxc5  ^xd5  (if  2tf...dxc5  21  Ae3  Wd6  22  Axc5  fcd5  23  Ab3!) 

21  Ab3  £3f6  (if  21..Ac6  22  Ag5!)  22  cxd6  fcd6  23  ^g5!  IfS 
24  Ae3  fcdl  25  lexdl  h6  26  <^e4!  £ixe4  27  Bxd7  fiac8  28  c4  £3g5 
29  Jlxg5  hxg5  30  c5  Black  resigns.  (Fischer-Rinaldo,  US  Open  1957.) 

b]  The  sharp  16  b4  cxb4  17  cxb4  <^c4  18  ^xc4  bxc4  19  Bel  exd4 
20  ^xd4  d5  (not  20... c3  21  Ab3  %3xq4  22  Ixe4!  Sxe4  23  fT3  Ac6 
24  Wxc3  wins)  21  exd5  Bxel+?  (better  is  21..Md6 )  22  Axel  #d6. 
(Fischer-Matanovich,  Bled  1961.)  And  now,  as  Keres  pointed  out, 


5H0CR0N  /  RUY  LOPEZ 


45 


White  can  retain  his  extra  Pawn  with  23  4^f3!  Not  25...Wxd5?  24  Ac3! 
veins  a  piece.  Or  2J...£}xd5  24  Ae4. "
20. ..Ax g5,"g5  puts  White’s  concept  to  the  crucial  test  After  21  ^d5! 
Axel  (27...Axd5  22  Axg5  wins  the  exchange)  22  4}f6+  ^h8!  (if 
22...® f8  23  fiaxcl  He7  24  <?}xh7+  'A'gS  25  Scdl!  Sa8  [25...2xdl 
26  4}f6+  &g7  27  fixdl  £}b7  28  g4!  followed  by  g5  with  a  strong 
attack]  26  £}f6+  &g7  27  Axd5  28  fixd5  White’s  better)  23  Saxcl 
(23  4lxe8  Ag5  24  £)f6  4^c4!  Black  has  good  play  for  the  exchange) 
2J...2f8  (not  22...fle7  24  Wg3  threatening  either  fce5  or  Wh4) 
24  #°g3  #c7!  25  Wg5  &g7  and  now  White  can  force  a  draw  with 
26  4lh5+,  etc.,  or  try  for  more  with  either  26  f4  or  2e3. "
21  ^g4  Jlxg4,"Black  can’t  allow  4Af6+.  As  a  consequence,  White  obtains  the  Bishop 
pair  and  attacking  prospects  along  the  open  h-file. "
22  Hxg4  ^b6! ,"To  prevent  a4  and,  as  will  be  seen,  to  swing  the  Knight  to  f8  in  order 
to  defend  the  vulnerable  h7  Pawn.  For  Unzicker’s  22...f6  see  game  10. "
23  g3  c4! ,"The  right  timing.  He’s  careful  to  see  that  a4  is  restrained.  Wrong,  for 
example,  is  23. .fL Id7  24  a4  b4  25  cxb4  cxb4  26  Ab3!  and  this  Bishop 
comes  crashing  back  into  the  game  via  the  open  diagonal. "
25  fihl  £lf8 ,"Phase  one  is  over.  Having  seen  his  K-side  threats  neatly  parried, 
White  is  compelled  to  start  some  action  on  the  opposite  wing"
